model_name,image_name,dice,iou,ssim,accuracy,precision,recall,f1_score,hausdorff
MyModel,SkBr3_Phase_H3_1_02d16h00m_3.png,0.960411,0.923837,0.997789,0.954357,0.959768,0.961056,0.960411,12.529964
MyModel,SkBr3_Phase_H3_1_02d16h00m_4.png,0.961616,0.92607,0.99829,0.959124,0.946194,0.977549,0.961616,26.683328
MyModel,SkBr3_Phase_H3_1_02d20h00m_1.png,0.958484,0.920278,0.997509,0.950164,0.956195,0.960784,0.958484,18.384776
MyModel,SkBr3_Phase_H3_1_02d20h00m_3.png,0.945411,0.896474,0.997277,0.93903,0.907353,0.986802,0.945411,15.524175
MyModel,SkBr3_Phase_H3_1_02d20h00m_4.png,0.947013,0.899359,0.997415,0.941898,0.915738,0.980501,0.947013,14.56022
MyModel,SkBr3_Phase_H3_1_03d00h00m_1.png,0.941589,0.889625,0.995829,0.927366,0.913296,0.97169,0.941589,91.706052
MyModel,SkBr3_Phase_H3_1_03d00h00m_2.png,0.95132,0.90716,0.997075,0.942928,0.927112,0.976827,0.95132,38.639358
MyModel,SkBr3_Phase_H3_1_03d00h00m_3.png,0.946462,0.898366,0.996684,0.937525,0.913009,0.982461,0.946462,33.615473
MyModel,SkBr3_Phase_H3_1_03d00h00m_4.png,0.943271,0.892632,0.996645,0.935738,0.905632,0.984174,0.943271,31.827661
MyModel,SkBr3_Phase_H3_1_03d04h00m_1.png,0.93394,0.876067,0.994891,0.915682,0.902083,0.968129,0.93394,31.0
MyModel,SkBr3_Phase_H3_1_03d04h00m_2.png,0.940008,0.886806,0.996258,0.928166,0.907633,0.974777,0.940008,39.812058
MyModel,SkBr3_Phase_H3_1_03d04h00m_4.png,0.909723,0.834396,0.993855,0.897634,0.84316,0.987696,0.909723,27.294688
MyModel,SkBr3_Phase_H3_1_03d08h00m_1.png,0.903559,0.824083,0.992047,0.878469,0.839407,0.978327,0.903559,27.658633
MyModel,SkBr3_Phase_H3_1_03d08h00m_2.png,0.917763,0.848024,0.994181,0.900109,0.857583,0.987027,0.917763,30.016662
MyModel,SkBr3_Phase_H3_1_03d08h00m_3.png,0.924231,0.859135,0.994705,0.906163,0.873014,0.981831,0.924231,23.4094
MyModel,SkBr3_Phase_H3_1_03d08h00m_4.png,0.911853,0.837987,0.993482,0.89343,0.853126,0.979264,0.911853,15.132746
MyModel,SkBr3_Phase_H3_1_03d12h00m_1.png,0.912345,0.838818,0.992418,0.88361,0.853147,0.98037,0.912345,42.426407
MyModel,SkBr3_Phase_H3_1_03d12h00m_2.png,0.92616,0.862475,0.994608,0.903365,0.873732,0.985282,0.92616,21.931712
MyModel,SkBr3_Phase_H3_1_03d12h00m_3.png,0.964407,0.931261,0.997781,0.951685,0.96185,0.966978,0.964407,20.0
MyModel,SkBr3_Phase_H3_1_03d12h00m_4.png,0.959428,0.92202,0.997499,0.946233,0.948288,0.970833,0.959428,35.608988
MyModel,SkBr3_Phase_H3_2_00d00h00m_2.png,0.933776,0.875779,0.999198,0.980288,0.90657,0.962666,0.933776,38.483763
MyModel,SkBr3_Phase_H3_2_00d00h00m_3.png,0.953427,0.910999,0.999538,0.986921,0.947437,0.959493,0.953427,16.124515
MyModel,SkBr3_Phase_H3_2_00d00h00m_4.png,0.95855,0.920399,0.999706,0.990338,0.944634,0.972881,0.95855,48.466483
MyModel,SkBr3_Phase_H3_2_00d04h00m_2.png,0.944264,0.894413,0.999291,0.982097,0.965631,0.923822,0.944264,38.470768
MyModel,SkBr3_Phase_H3_2_00d04h00m_3.png,0.949794,0.904388,0.99946,0.985132,0.956366,0.943312,0.949794,49.73932
MyModel,SkBr3_Phase_H3_2_00d04h00m_4.png,0.917168,0.847009,0.998932,0.979316,0.892069,0.94372,0.917168,46.173586
MyModel,SkBr3_Phase_H3_2_00d08h00m_1.png,0.923453,0.857791,0.998668,0.97285,0.882203,0.968748,0.923453,71.0
MyModel,SkBr3_Phase_H3_2_00d08h00m_2.png,0.931046,0.870987,0.999166,0.97777,0.893873,0.971444,0.931046,39.051248
MyModel,SkBr3_Phase_H3_2_00d08h00m_3.png,0.920671,0.853003,0.999075,0.977874,0.863661,0.985739,0.920671,29.0
MyModel,SkBr3_Phase_H3_2_00d08h00m_4.png,0.910328,0.835415,0.998949,0.976601,0.860343,0.96648,0.910328,49.819675
MyModel,SkBr3_Phase_H3_2_00d12h00m_1.png,0.916669,0.846157,0.998469,0.969179,0.863308,0.977061,0.916669,42.638011
MyModel,SkBr3_Phase_H3_2_00d12h00m_2.png,0.95514,0.914132,0.999483,0.983468,0.982524,0.929241,0.95514,9.055385
MyModel,SkBr3_Phase_H3_2_00d12h00m_3.png,0.954653,0.91324,0.999478,0.984708,0.980123,0.930473,0.954653,34.82815
MyModel,SkBr3_Phase_H3_2_00d12h00m_4.png,0.945658,0.896917,0.99925,0.983321,0.976707,0.916521,0.945658,33.24154
MyModel,SkBr3_Phase_H3_2_00d16h00m_1.png,0.940146,0.887053,0.998796,0.974473,0.965329,0.916244,0.940146,47.88528
MyModel,SkBr3_Phase_H3_2_00d16h00m_3.png,0.938606,0.884314,0.999028,0.977322,0.969507,0.909613,0.938606,44.102154
MyModel,SkBr3_Phase_H3_2_00d16h00m_4.png,0.944534,0.894897,0.999147,0.981512,0.968276,0.921927,0.944534,45.650849
MyModel,SkBr3_Phase_H3_2_00d20h00m_1.png,0.945448,0.89654,0.998761,0.973541,0.96608,0.925679,0.945448,39.824616
MyModel,SkBr3_Phase_H3_2_00d20h00m_3.png,0.946635,0.898678,0.99912,0.978354,0.981113,0.914499,0.946635,31.0
MyModel,SkBr3_Phase_H3_2_00d20h00m_4.png,0.950964,0.906512,0.99935,0.982875,0.952044,0.949887,0.950964,28.460499
MyModel,SkBr3_Phase_H3_2_01d00h00m_1.png,0.933497,0.875287,0.997942,0.964418,0.922802,0.944442,0.933497,69.656299
MyModel,SkBr3_Phase_H3_2_01d00h00m_3.png,0.94882,0.902623,0.999164,0.97821,0.977087,0.922143,0.94882,43.737855
MyModel,SkBr3_Phase_H3_2_01d04h00m_2.png,0.961721,0.926265,0.999421,0.981802,0.981309,0.9429,0.961721,21.954498
MyModel,SkBr3_Phase_H3_2_01d04h00m_3.png,0.966118,0.934457,0.999469,0.983851,0.97218,0.960131,0.966118,31.064449
MyModel,SkBr3_Phase_H3_2_01d04h00m_4.png,0.956965,0.917481,0.999173,0.981195,0.963543,0.950476,0.956965,39.962482
MyModel,SkBr3_Phase_H3_2_01d08h00m_1.png,0.949135,0.903194,0.998197,0.966535,0.950062,0.94821,0.949135,41.725292
MyModel,SkBr3_Phase_H3_2_01d08h00m_2.png,0.951804,0.90804,0.998866,0.974314,0.978986,0.926091,0.951804,30.528675
MyModel,SkBr3_Phase_H3_2_01d08h00m_3.png,0.966438,0.935055,0.999363,0.982277,0.971857,0.961078,0.966438,20.808652
MyModel,SkBr3_Phase_H3_2_01d08h00m_4.png,0.951706,0.907862,0.999097,0.976786,0.986045,0.919678,0.951706,50.803543
MyModel,SkBr3_Phase_H3_2_01d12h00m_1.png,0.933238,0.874833,0.997435,0.954731,0.915875,0.951273,0.933238,45.617979
MyModel,SkBr3_Phase_H3_2_01d12h00m_2.png,0.943623,0.893263,0.998662,0.968064,0.930286,0.957348,0.943623,42.0
MyModel,SkBr3_Phase_H3_2_01d12h00m_3.png,0.928609,0.866731,0.997738,0.960304,0.909879,0.948125,0.928609,22.36068
MyModel,SkBr3_Phase_H3_2_01d12h00m_4.png,0.943268,0.892628,0.998645,0.970034,0.931847,0.954973,0.943268,81.498466
MyModel,SkBr3_Phase_H3_2_01d16h00m_1.png,0.936921,0.881328,0.997561,0.95442,0.927281,0.946764,0.936921,32.015621
MyModel,SkBr3_Phase_H3_2_01d16h00m_2.png,0.944206,0.894308,0.99861,0.966764,0.943155,0.945259,0.944206,38.013156
MyModel,SkBr3_Phase_H3_2_01d16h00m_3.png,0.93089,0.870715,0.99748,0.958454,0.939552,0.922386,0.93089,22.36068
MyModel,SkBr3_Phase_H3_2_01d16h00m_4.png,0.941155,0.888851,0.998618,0.967275,0.918084,0.965415,0.941155,22.36068
MyModel,SkBr3_Phase_H3_2_01d20h00m_1.png,0.936134,0.879936,0.997341,0.951852,0.919738,0.953125,0.936134,37.215588
MyModel,SkBr3_Phase_H3_2_01d20h00m_2.png,0.946473,0.898386,0.998604,0.965521,0.932498,0.960874,0.946473,19.723083
MyModel,SkBr3_Phase_H3_2_01d20h00m_3.png,0.940701,0.888042,0.997995,0.964412,0.93088,0.950732,0.940701,22.090722
MyModel,SkBr3_Phase_H3_2_01d20h00m_4.png,0.951459,0.907412,0.998772,0.971534,0.923928,0.98068,0.951459,75.325958
MyModel,SkBr3_Phase_H3_2_02d00h00m_1.png,0.942861,0.891898,0.997783,0.955917,0.911572,0.976373,0.942861,35.0
MyModel,SkBr3_Phase_H3_2_02d00h00m_3.png,0.938115,0.883444,0.997839,0.958304,0.903182,0.97586,0.938115,32.557641
MyModel,SkBr3_Phase_H3_2_02d00h00m_4.png,0.915853,0.844768,0.997274,0.947479,0.854649,0.986499,0.915853,20.615528
MyModel,SkBr3_Phase_H3_2_02d04h00m_1.png,0.90608,0.828287,0.995757,0.925453,0.842036,0.980668,0.90608,37.161808
MyModel,SkBr3_Phase_H3_2_02d04h00m_3.png,0.953515,0.911161,0.998604,0.967308,0.947692,0.959411,0.953515,37.735925
MyModel,SkBr3_Phase_H3_2_02d08h00m_2.png,0.953836,0.911745,0.998566,0.963904,0.947612,0.960142,0.953836,37.735925
MyModel,SkBr3_Phase_H3_2_02d08h00m_3.png,0.9476,0.900419,0.998159,0.961391,0.933024,0.962639,0.9476,32.557641
